category,species,genus,introduction
104,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
105,Earina autumnalis(Easter orchid),Earina,目前（2014年6月），已識別出7種，原產於太平洋各島。新西蘭物種都是附生的，有時也有石生的，生長在北島和南島的雨林的長滿苔蘚的樹幹上。帶狀葉子從根莖蠕動而產生的下擺細細假鱗莖中長出來。花很小，但數量很多。
106,X,,
107,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
108,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
109,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
110,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
111,杜鵑蘭(馬鞭蘭),杜鵑蘭屬,馬鞭蘭身為台灣原生蘭花之一，散發怡人青草芬芳的桃紫色花絮垂懸，外形猶如馬鞭，日本稱它為采配蘭，而采配就是日本戰國時期將帥手中的指揮棒。
112,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
113,綠花肖頭蕊蘭,肖頭蕊蘭屬,綠花肖頭蕊蘭是種常見的野生蘭花，綠色的長型葉片抽出長長的花莖。綠花肖頭蕊蘭常於冬季開花，在其附近即可聞到濃郁的陣陣芳香，花朵中也含有花蜜，黃綠色的小花盛開的模樣十分動人。
114,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
115,Calopogon tuberosus,美鬚蘭屬,刺桐屬植物的特徵是沒有復生的花，在花唇上有鮮豔的頭髮狀凸起。該屬僅發生在美國和加勒比海地區。
116,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
117,Bulbophyllum kwangtungense,豆蘭屬,Bulbophyllum kwangtungense可以開出多彩優美的花朵，非常適合作為盆栽擺放在你的房子裡。只要你提供充足的光照和水分，它就可以在你的屋子裡綻放。
118,Bletia purpurea,布萊特蘭屬,Bletia purpurea的長度可以達到5英尺 。它具有卵形（卵形）假鱗莖，直徑可達1.6 。葉子是線性的或狹窄的橢圓形，最長可達40 。花為粉紅色，紫色或偶有白色，在總狀花序或圓錐花序中有時有多達80朵花。萼片小於B. patula，通常長於1.2 。
119,心花圍柱蘭,圈柱蘭屬,心花圍柱蘭因唇瓣的形狀與心臟一般而命名，春至初夏開花，色彩豔麗、姿態優美，帶有清新淡雅類似玫瑰花的香氣，易繁殖好照顧，天生麗質的高顏值，具有極高的欣賞與美化室內環境價值。
120,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
121,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
122,X,,
123,Govenia utriculata,戈文蘭屬,Govenia utriculata是一種非常適合種在花盆裡擺放在室內的蘭花，在熱帶地區你還可以把它種在樹上。它的花顏色豐富、開放時間長，可以在你的屋子裡形成多彩的景觀。而且石斛屬的花不僅姿態優雅，而且有的品種有芬芳的香味。它的花開放在細長的莖桿的頂端，適合剪切下來插在花瓶中觀賞，觀賞價值高。它對環境有一些嚴格，需要你提供充足的陽光、水分和溫度。
124,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
125,X,,
126,布袋蘭,布袋蘭屬,布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。
127,X,,
128,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
129,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
130,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
131,Corallorhiza maculata,珊瑚蘭屬,Corallorhiza maculata的根莖和下部莖通常打結成分支的珊瑚形狀。莖通常為紅色或棕色，但偶爾為淺黃色或乳白色。莖具深紅色鱗片和復雜的蘭花花。萼片為深紅色或棕色，帶有紫色，長而尖的。側花瓣帶紅色，唇瓣明亮，潔白，有深紅色斑點。
132,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
133,蘆莖樹蘭,樹蘭屬,蘆莖樹蘭適合作為庭園植栽或盆栽，若作為切花花材，可在瓶中維持2~3週的觀賞時間。蘆莖樹蘭的種小名是源於radicate一詞，表示其莖部容易長出氣生根的特色！
134,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
135,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
136,X,,
137,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
138,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
139,Laelia anceps,蕾麗亞屬,Laelia anceps是附生植物藥草（有少量石生植物），具側向壓縮假鱗莖。每個假鱗莖的頂部附近生有1-4片革質或肉質葉，可以寬卵形至長圓形。花序是頂生總狀花序（很少圓錐花序）。該屬包括約26種。在中美洲和南美洲的亞熱帶或溫帶氣候地區發現了laelia anceps物種，但大多數位於墨西哥。
140,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
141,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
142,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
143,Calopogon tuberosus,美鬚蘭屬,刺桐屬植物的特徵是沒有復生的花，在花唇上有鮮豔的頭髮狀凸起。該屬僅發生在美國和加勒比海地區。
144,鴿石斛,石斛蘭屬,鴿石斛可藉由下雨或氣溫控制，在突然驟降的溫度下開出美麗的花朵──白色花瓣帶有一抹黃色的唇，風姿優美，因長相像飛翔的鴿子而得其名。鴿石斛的花朵不僅美觀，還會散發出濃郁的花香呢。
145,X,,
146,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
147,X,,
148,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
149,X,,
150,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
151,樹蘭,樹蘭屬,樹蘭有一定的耐寒能力，可忍受輕微的霜凍，常有鳥類或蝴蝶來替其進行授粉，據說一年可以開花數次，常能看見其橙色、紅色、淡紫色等多種色調的花朵。
152,大明石斛,石斛蘭屬,大明石斛的種小名Speciosum在拉丁文的意思為「美麗的、豔麗的」，用來形容其開花特性，它是很受歡迎的栽培用蘭花。大明石斛通常生長在岩石或懸崖上，它的根會緊密地聚在一起，緊緊抓住岩石，它的特性為根系總是覆蓋著潮濕的蕨類或苔蘚。
153,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
154,金氏蓋藥蘭,石斛屬,金氏蓋藥蘭為原生於大洋洲的一種蘭花，其盛開的花朵形狀像極了展翅的鴿子，所以又稱「澳洲鴿石斛」。金氏蓋藥蘭是蘭花中生命力較為強健的品種，非常適合作為蘭花新手的入門選擇。
155,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
156,Epidendrum fimbriatum,樹蘭屬,Epidendrum fimbriatum細長的莖上生長著美麗、密集的花朵，可以在屋子里或陽台、院子中形成美麗的景觀。樹蘭屬（ Epidendrum ）花朵種類豐富、色彩鮮豔，從純色到條紋、斑點應有盡有，有的花瓣邊緣還帶有流蘇，可以為你帶來豐富的觀賞樂趣。 epidendrum fimbriatum是最容易生長、開花的蘭花之一，養護比較簡單；你是最容易生長、開花的蘭花之一，只需要提供充足的陽光和水分，不用操太多的心去照顧它們。
157,X,,
158,Dendrobium cunninghamii(聖誕節蘭),石斛屬,Dendrobium cunninghamii是一種附生的或石生的蘭花草本植物，形成7英尺寬的簇狀莖，長到3英尺長，直徑為0.3 英尺 ，是線狀的甘蔗狀莖。葉子是窄線性的，長1-2 ，寬約0.12 。短的側生花梗上最多開花八朵0.8-1的白色花朵。花瓣和萼片為白色，但but的某些部分為玫瑰粉色，紫色和綠色。 lum有三個裂片。
159,X,,
160,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
161,Hammarbya paludosa,Hammarbya,它是一種很小的不起眼的蘭花，可以達到15厘米高，但通常長到4厘米到8厘米之間 。莖是黃綠色的，有三個到五個角，從一個小假鱗莖開始生長。有兩個，三個或有時四個基生葉。它們是橢圓形至長方形，肉質和淺綠色或黃綠色。花朵長成1.5-6厘米長的穗狀總狀花序，最多可養 25朵花。它們小而綠色，大約2毫米寬， 4毫米高。它們具有三個萼片和三個花瓣，其中之一被修飾成唇形。
162,蘆莖樹蘭,樹蘭屬,蘆莖樹蘭適合作為庭園植栽或盆栽，若作為切花花材，可在瓶中維持2~4週的觀賞時間。蘆莖樹蘭的種小名是源於radicate一詞，表示其莖部容易長出氣生根的特色！
163,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
164,叢寶蘭,Limodorum,它是一種長至85厘米的根莖草本植物，從4月至6月產生了10-20朵紫色的花序。種子是蘭花產生的最大種子之一，幼苗生長非常緩慢，在開花前會完全保留在地下8-10年。
165,Earina mucronata,Earina,葉片沿扁平的無分支假鱗莖在一個平面中交替排列，假鱗莖的長度可以長到1 m ，但通常較短。鞘的寬度為2毫米或3毫米 ，與秋天的大腸桿菌相反，它們很難拔除。花在分支的總狀花序上成批生產。萼片，花瓣和柱通常為白色或乳白色，而標籤通常為黃色，儘管有時會遇到白色，杏色和橙色。
166,章魚蘭,章魚蘭屬,章魚蘭是中美洲國家貝里斯的國花。因花朵盛開時很像章魚，被稱為「章魚蘭」。花朵能抵抗大部分害蟲。假鱗莖是蘭科植物用來貯藏水和養分的器官，可用於製作黏著劑。
167,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
168,X,,
169,坦普爾圈柱蘭,圈柱蘭屬,坦普爾圈柱蘭原產於佛羅里達；儘管在當地產量高，為避免過度的商業性剝削，銷售坦普爾圈柱蘭是要具備執照的。它的花有蜂蜜的香味，可吸引多種蜜蜂。
170,紅花頭蕊蘭,頭蕊蘭屬,每個開花芽達到20–70厘米高。枝條從爬行的根莖中生長。莖在基部光滑，並被較高的短腺毛覆蓋。幼芽有2至8片披針形葉子，大小從5到14厘米長，從1到3 厘米寬不等，最大可達5厘米寬。花瓣彎曲且披針形。
171,Calopogon tuberosus,美鬚蘭屬,刺桐屬植物的特徵是沒有復生的花，在花唇上有鮮豔的頭髮狀凸起。該屬僅發生在美國和加勒比海地區。
172,X,,
173,長距根節蘭,根節蘭屬,長距根節蘭是一種非常稀有的蘭花，多生活在較高海拔森林中的潮濕處。由於棲息地被破壞，這種植物已日漸稀少。
174,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
175,臺灣根節蘭,根節蘭屬,臺灣根節蘭的葉子又長又大，早期臺灣人會用它來包粽子，因此也稱為「粽葉根節蘭」。要分辨臺灣根節蘭和竹葉根節蘭有點難，前者的花通常長得比葉片高，後者的花比較害羞，常躲在葉片下。
176,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
177,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
178,長葉頭蕊蘭,頭蕊蘭屬,一種蘭花科，可伸展多個直立的無毛莖。深綠色的長葉片向尖端逐漸變細。花以對角線的形式向上懸掛，並有5至20個螺旋形，形成柔和的穗狀花序。你呢果實是果實（前景：內部為多個房間的膠囊狀乾果），細小種子如粉末被風吹散。
179,Corallorhiza maculata,珊瑚蘭屬,Corallorhiza maculata的根莖和下部莖通常打結成分支的珊瑚形狀。莖通常為紅色或棕色，但偶爾為淺黃色或乳白色。莖具深紅色鱗片和復雜的蘭花花。萼片為深紅色或棕色，帶有紫色，長而尖的。側花瓣帶紅色，唇瓣明亮，潔白，有深紅色斑點。
180,一葉羊耳蒜,羊耳蘭屬,此物種因假球莖上長出一片葉子，被稱為一葉羊耳蒜。其幼葉的葉片會彼此輕輕的對摺，所以又稱為「摺疊羊耳蒜」。它通常居住在潮濕的山區或岩壁上，而且特別喜歡黏在樹木身上生長。
181,天麻,天麻屬,台灣人很常用天麻當作食補食材，和雞肉一起熬煮成雞湯是最常見的料理方式。天麻沒有根、也沒綠葉，本身不含葉綠素，所以無法進行光合作用，它一生都必須依靠其他真菌獲得養分。
182,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
183,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
184,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
185,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
186,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
187,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
188,長葉頭蕊蘭,頭蕊蘭屬,一種蘭花科，可伸展多個直立的無毛莖。深綠色的長葉片向尖端逐漸變細。花以對角線的形式向上懸掛，並有5至21個螺旋形，形成柔和的穗狀花序。你呢果實是果實（前景：內部為多個房間的膠囊狀乾果），細小種子如粉末被風吹散。
189,樹蘭,樹蘭屬,樹蘭有一定的耐寒能力，可忍受輕微的霜凍，常有鳥類或蝴蝶來替其進行授粉，據說一年可以開花數次，常能看見其橙色、紅色、淡紫色等多種色調的花朵。
190,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。和象徵著生活中的美好事物。
191,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
192,X,,
193,X,,
194,扁球羊耳蒜,羊耳蘭屬,扁球羊耳蒜是一種會生長在樹木上的小型蘭花，主要生長於海拔200至1500公尺的林中樹上。此植物的球莖是呈扁平狀的。雖然與同屬中的植物長的相似，但可從其球形的莖辨別此植物。
195,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
196,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
197,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
198,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
199,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
200,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
201,紅鶴頂蘭,鶴頂蘭屬,紅鶴頂蘭獨特的花形與淡淡芬香，使它有極高的園藝價值。通常可以在低海拔山區找到它們，但是近年來過度採摘，已經很少見到野外種，現在只能於花市或庭園窺見其蹤影。
202,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
203,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。
204,X,,
205,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
206,白鶴蘭,根節蘭屬,白鶴蘭最大的特色在於人字形的唇瓣，猶如成群飛舞的白鶴而得名，聖花成簇遠看像是白花繡球，清麗優雅，極具觀賞價值，白鶴蘭多被作為盆栽擺放在家中或陽台，更是受歡迎的切花材料！
207,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。和象徵著生活中的美好事物。
208,白拉索蘭,白拉索蘭屬,白拉索蘭生命力強，以濃郁的香氣而聞名，這種特別的香氣類似柑橘和梔子花般，主要是在夜晚散發出來，用來吸引夜間授粉的飛蛾。
209,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。
